Time (s),"Primary somatosensory area, barrel field (L)","Primary somatosensory area, barrel field (R)","Primary somatosensory area, lower limb (L)","Primary somatosensory area, lower limb (R)",Supplemental somatosensory area (L),Supplemental somatosensory area (R),Olfactory areas (L),Olfactory areas (R),Hippocampal formation (L),Hippocampal formation (R),Cortical subplate (L),Cortical subplate (R),Striatum (L),Striatum (R),Pallidum (L),Pallidum (R),Thalamus (L),Thalamus (R),Hypothalamus (L),Hypothalamus (R),"Primary somatosensory area, upper limb (L)","Primary somatosensory area, upper limb (R)","Primary somatosensory area, unassigned (L)","Primary somatosensory area, unassigned (R)"
0.4,1.04755620726966,2.4269628993447,3.06364916494131,3.85335319222982,4.86056034757931,6.18888619832227,7.27472114797848,8.00377590128359,10.2279351768788,9.54433079603718,11.1940643674516,12.3420671784696,12.9765348977336,13.9061508692009,14.8580739655899,15.7543996066109,17.2660283692923,18.1756723804535,19.3016444508312,20.4241900215907,21.1442321631359,22.0837570687996,23.0756425014688,24.7810940618785
0.800025,1.35306010439041,2.5851043027026,3.34514909567309,4.27494826409957,4.79082933746939,5.66667785302742,7.01429158012508,7.39925265322923,10.096243262929,9.79072515313965,10.4525288332752,11.6652699351277,12.6581781227742,14.3945150896553,14.9181610619552,15.9406561413773,17.3066395127885,18.7545412662481,19.4004985058349,20.8122194002768,21.0736720661593,22.0967547489875,22.8213540229213,24.5382900933639
1.200025,1.4556438220307,2.31074617205362,3.2525745111113,3.9951535579582,4.67369181645219,6.02694707164351,7.82455171366397,8.6921398944891,9.87932798574453,10.8467096623988,11.2048821673814,12.286228879804,13.3168917317948,14.1079296733715,15.0031643908558,15.8221558481721,17.6189640222928,17.9264080166745,19.2853698180975,19.6230935684128,21.2562547918489,22.0487238888461,23.1699990484888,24.0928289550482
1.60005,1.50034431061082,2.59976548546878,3.42650179546566,4.20224924951253,4.54399058339028,6.26610340387958,7.22506819243048,8.21698190391754,9.75123359768663,9.640050380119,11.3989385371848,11.805118979196,12.9315617965658,13.9067576643244,15.1582100896143,16.2790236975151,17.6687700342473,17.7740954184632,18.8009548175745,19.7845633115931,21.5446679335776,22.1360483873458,22.6606068595438,24.2543865855933
2.00005,1.60370613302339,2.5101557270776,3.2594222675869,4.07512839704544,5.2266818025155,6.57950519526094,7.2752703896612,8.5763467837756,9.50790238589815,10.2650048779701,10.7606092287874,12.3906710598635,14.1654074113212,14.1759193134073,15.2179861268012,16.6793113870582,17.4454826772509,18.5540434301549,19.3602030287056,20.6381148920546,21.1734762097119,22.870977475129,22.9980522130095,24.498919488676
2.400075,1.21443831726731,1.93392914574503,3.10399912874931,4.0512262990346,4.90167493338483,5.84088785137563,6.63704279169803,8.6268439086434,10.2016313434258,10.0383755561548,12.104108658982,12.5614925967415,13.0002882087167,13.8556430002368,14.3342388562235,16.7430456262466,17.4622306640383,17.512939397565,18.78852448314,19.4733796155644,20.8423500494263,21.9391112120869,23.3767205435402,24.3179453539807
2.8001,1.43569489911452,1.79704943173654,2.97694089381233,3.75358268395025,5.38909200716011,6.4902947799554,7.02043282434786,7.78059635690208,10.0173666079179,10.3494126522124,11.8672364049084,12.078157148349,12.9525563225684,13.610842988775,15.503179325783,16.3800643942176,16.9000297091735,18.128458138107,19.1449882484425,20.272184312369,20.6069834710784,21.9196674529215,22.9308084770877,24.085594136207
3.2001,1.35213417996746,1.93090962252397,3.24059141272839,4.34411467651187,5.21829040242098,5.89525693977612,7.18555414910802,7.77826520209081,9.85610242088639,10.3637317299523,11.0416899905221,12.023104153846,13.2611920107311,13.8179641413696,14.7882084015188,16.7808128758475,17.2803229542382,17.9396222225542,18.7458038549473,19.7739074979064,21.4097890579551,21.8982714353138,23.2356858174279,24.2890946982961
3.600125,1.53602165380716,2.29410316542315,3.70852129824569,4.1127179437142,4.95547923715705,5.82804618383024,7.27696548706768,8.44458243489589,9.3684477023952,10.0891438705011,11.1257066579298,12.4885623912686,12.9010116988069,14.0390535890851,15.1303043388542,16.6624976603228,17.423076028338,17.9783483312415,19.424519159892,20.2383773022265,20.9535329564566,22.0103806359281,23.1589161312342,24.8205497508308
4.00015,1.19743269745295,2.04408330071975,3.04006664742771,3.99985968639574,5.48372696873401,6.20756393126524,7.3486181428118,7.94841812669352,9.66229331505386,10.5003601270436,10.5556686649485,12.4172455277865,12.8824953211567,13.7532735083028,15.4953019073664,15.9673878463972,17.5039879016702,17.806350553916,19.0397168155422,20.1485540361026,21.2853437191172,22.3161033180742,22.9617794973392,24.0556539248463
