Robustness test to targeted attack

Highest ranking node removal

network efficiency	number of connected components	size of largest island	average of shortest path lengths	average of weighted shortest path lengths
0.85	1	21	1.3	0.4094920210216905
0.7842105263157895	2	19	1.2573099415204678	0.3887430950456619
0.7660818713450293	2	18	1.2875816993464053	0.3894034419265298
0.7450980392156863	2	17	1.3235294117647058	0.38936513673375817
0.7205882352941176	2	16	1.3666666666666667	0.3898177637605439
0.6916666666666667	2	15	1.4190476190476191	0.40057766033078773
0.6571428571428571	2	14	1.4835164835164836	0.41472223375905487
0.6062271062271062	2	13	1.6282051282051282	0.45269061454463255
0.4401709401709402	4	10	1.488888888888889	0.3895037185197475
0.3333333333333333	5	8	1.4285714285714286	0.36939741528648273
0.21818181818181817	6	6	1.4	0.3313361934434199
0.1111111111111111	7	4	1.3333333333333333	0.3041959142138923
0.027777777777777776	8	2	1.0	0.2105179592002105
0.0	8	1	0	0
0.0	7	1	0	0
0.0	6	1	0	0
0.0	5	1	0	0
0.0	4	1	0	0
0.0	3	1	0	0
0.0	2	1	0	0
0	1	1	0	0


Most important bridge removal

network efficiency	number of connected components	size of largest island	average of shortest path lengths	average of weighted shortest path lengths
0.8614718614718615	1	22	1.277056277056277	0.41152837320831037
0.8138528138528138	2	21	1.2095238095238094	0.39261638957204065
0.8116883116883117	2	21	1.2142857142857142	0.3949124019401112
0.8095238095238095	2	21	1.2190476190476192	0.39713425569030664
0.8073593073593074	2	21	1.223809523809524	0.40194990219289506
0.8051948051948052	2	21	1.2285714285714286	0.4045303202258813
0.803030303030303	2	21	1.2333333333333334	0.40734395635270665
0.8008658008658008	2	21	1.2380952380952381	0.41010614191057626
0.7987012987012987	2	21	1.2428571428571429	0.41287467125267174
0.7943722943722943	2	21	1.2619047619047619	0.4232693141775755
0.7510822510822511	3	20	1.1736842105263159	0.396370816579856
0.7489177489177489	3	20	1.1789473684210525	0.3996050711797575
0.7467532467532467	3	20	1.1842105263157894	0.402370862451871
0.7445887445887446	3	20	1.1894736842105262	0.4044433284138385
0.7424242424242424	3	20	1.194736842105263	0.4065158520949031
0.7402597402597403	3	20	1.2	0.4086011340109944
0.7380952380952381	3	20	1.2052631578947368	0.4113209664610632
0.7359307359307359	3	20	1.2105263157894737	0.41390832108033193
0.7323232323232324	3	20	1.2263157894736842	0.4192441537006031
0.6904761904761905	4	19	1.1345029239766082	0.3998600239844104
0.6883116883116883	4	19	1.1403508771929824	0.4028666644231079
0.6861471861471862	4	19	1.1461988304093567	0.4052718766184714
0.683982683982684	4	19	1.152046783625731	0.4078032456385049
0.6818181818181818	4	19	1.1578947368421053	0.41037402768165254
0.6796536796536796	4	19	1.1637426900584795	0.41284036739554975
0.6774891774891775	4	19	1.1695906432748537	0.41543168981298245
0.6753246753246753	4	19	1.1754385964912282	0.41866430216430783
0.6731601731601732	4	19	1.1812865497076024	0.421631420987825
0.6320346320346321	5	18	1.091503267973856	0.40084746187368653
0.6298701298701299	5	18	1.0980392156862746	0.409976363084038
0.6277056277056277	5	18	1.1045751633986929	0.41985648003810044
0.6255411255411255	5	18	1.1111111111111112	0.4287875683625185
0.6233766233766234	5	18	1.1176470588235294	0.4350380946740077
0.6212121212121212	5	18	1.1241830065359477	0.4422336560969238
0.6190476190476191	5	18	1.130718954248366	0.4488462881315784
0.6168831168831169	5	18	1.1372549019607843	0.45342077890728416
0.6147186147186147	5	18	1.1437908496732025	0.45737288011292526
0.5757575757575758	6	17	1.0441176470588236	0.434445354367397
0.5735930735930735	6	17	1.0514705882352942	0.43813940241424687
0.5714285714285714	6	17	1.0588235294117647	0.44122944771393696
0.5692640692640693	6	17	1.0661764705882353	0.4450197045792171
0.5670995670995671	6	17	1.0735294117647058	0.44924486512902706
0.564935064935065	6	17	1.0808823529411764	0.4525383297103724
0.5627705627705628	6	17	1.088235294117647	0.4615519839904292
0.5606060606060606	6	17	1.0955882352941178	0.4655167303488681
0.5584415584415584	6	17	1.1029411764705883	0.4685180694027309
0.5562770562770563	6	17	1.1102941176470589	0.4721114356731223
0.5541125541125541	6	17	1.1176470588235294	0.47592275301568954
0.551948051948052	6	17	1.125	0.47963822489176783
0.5151515151515151	7	16	1.0166666666666666	0.45215574020393595
0.512987012987013	7	16	1.025	0.4551908873725599
0.5108225108225108	7	16	1.0333333333333334	0.45817346981148044
0.5086580086580087	7	16	1.0416666666666667	0.46076130710274865
0.5064935064935064	7	16	1.05	0.46293685543211455
0.5043290043290043	7	16	1.0583333333333333	0.4656464851015213
0.5021645021645021	7	16	1.0666666666666667	0.4676090236073281
0.5	7	16	1.075	0.47099947959174127
0.49783549783549785	7	16	1.0833333333333333	0.4741643781491613
0.49567099567099565	7	16	1.0916666666666666	0.4766867704737953
0.4935064935064935	7	16	1.1	0.47899449491386636
0.49134199134199136	7	16	1.1083333333333334	0.48226732490859114
0.48917748917748916	7	16	1.1166666666666667	0.48473826694970806
0.45454545454545453	8	15	1.0	0.4706072203580355
0.4523809523809524	8	15	1.0095238095238095	0.4706140428875091
0.45021645021645024	8	15	1.019047619047619	0.4706140428875091
0.44805194805194803	8	15	1.0285714285714285	0.4706140428875091
0.4458874458874459	8	15	1.0380952380952382	0.4709092850456418
0.44372294372294374	8	15	1.0476190476190477	0.4717901953593741
0.44155844155844154	8	15	1.0571428571428572	0.4733337823415948
0.4393939393939394	8	15	1.0666666666666667	0.4733337823415948
0.43722943722943725	8	15	1.0761904761904761	0.47339484960009937
0.43506493506493504	8	15	1.0857142857142856	0.49534976865847946
0.4329004329004329	8	15	1.0952380952380953	0.4974042647560074
0.43073593073593075	8	15	1.1047619047619048	0.4988151475449221
