CBV SIGNALS IN TIME

Time	Primary somatosensory area, barrel field (L)	Primary somatosensory area, barrel field (R)	Supplemental somatosensory area (L)	Supplemental somatosensory area (R)	Olfactory areas (L)	Olfactory areas (R)	Hippocampal formation (L)	Hippocampal formation (R)	Cortical subplate (L)	Cortical subplate (R)	Striatum (R)	Thalamus (L)	Thalamus (R)	Hypothalamus (L)	Hypothalamus (R)	
2.8	0.397992080202544	2.30576005458346	nan	nan	3.30172574232263	3.9335897872965	4.44850872908829	5.1211047670504	6.9131526259492	8.08936508988598	10.1347926103432	10.1712210960525	nan	11.4360337536636	nan	
3.39999999999991	0.598240511680985	2.49124295644181	nan	nan	3.1412487533181	3.99508523815496	4.44747650711036	5.1986973869177	6.99213881448183	8.15709371228418	10.2454332583398	10.174369729189	nan	11.5048354699584	nan	
3.99999999999982	0.798488943159422	2.67672585830016	nan	nan	2.98077176431356	4.05658068901341	4.44644428513242	5.27629000678499	7.06665332357479	8.21473051794594	10.3560739063363	10.1775183623256	nan	11.5736371862532	nan	
4.59999999999973	0.998737374637862	2.86220876015851	nan	nan	2.82029477530902	4.11807613987187	4.46785441359396	5.42384624203236	7.11129403357483	8.20796917945825	10.450014590133	10.190953630305	nan	11.6424389025479	nan	
5.19999999999964	0.99309189980016	2.83589057818324	nan	nan	2.85761996811088	4.08648178787835	4.43635451276741	5.62636578281283	7.05706581129731	8.18757518492205	10.2642724742434	10.1932246492285	nan	11.4586586021318	nan	
5.79999999999955	0.987446424962363	2.81949336317945	nan	nan	2.89494516091283	4.09623647548331	4.43943748799963	5.5902448716454	7.0165452024018	8.15218755805417	10.1401630977959	10.0458933003999	nan	11.2748783017154	nan	
6.39999999999946	0.981800950124563	2.80309614817566	nan	nan	2.93227035371477	4.10599116308829	4.44252046323187	5.52243296784443	6.98792157765236	8.095643742151	10.0160537213485	9.8985619515713	nan	11.0910980012991	nan	
6.99999999999936	0.976155475286766	2.78669893317187	nan	nan	2.96959554651672	4.11574585069327	4.4456034384641	5.45462106404343	6.95854316723584	8.05171697644542	9.89194434490103	9.75123060274265	nan	10.9073177008828	nan	
7.59999999999927	0.970510000448969	2.77030171816808	nan	nan	3.00692073931867	4.12550053829825	4.44531168759754	5.36233831490618	7.01864672704006	8.11968685845215	9.75388983182968	9.64815468913563	nan	10.7235374004665	nan	
8.19999999999918	1.06103994291417	2.77790606044001	nan	nan	3.07518812578829	4.21485175015522	4.45177465601022	5.21316558354259	7.12438981913119	8.10814192312237	9.80231715792956	9.48323606113413	nan	10.7797392843165	nan	
