Time (s),"Primary somatosensory area, barrel field (L) slice 1","Primary somatosensory area, barrel field (R) slice 1","Primary somatosensory area, lower limb (L) slice 1","Primary somatosensory area, lower limb (R) slice 1",Supplemental somatosensory area (L) slice 1,Supplemental somatosensory area (R) slice 1,Olfactory areas (L) slice 1,Olfactory areas (R) slice 1,Hippocampal formation (L) slice 1,Hippocampal formation (R) slice 1,Cortical subplate (L) slice 1,Cortical subplate (R) slice 1,Striatum (L) slice 1,Striatum (R) slice 1,Pallidum (L) slice 1,Pallidum (R) slice 1,Thalamus (L) slice 1,Thalamus (R) slice 1,Hypothalamus (L) slice 1,Hypothalamus (R) slice 1,"Primary somatosensory area, barrel field (L) slice 2","Primary somatosensory area, barrel field (R) slice 2","Primary somatosensory area, lower limb (L) slice 2","Primary somatosensory area, lower limb (R) slice 2",Supplemental somatosensory area (L) slice 2,Supplemental somatosensory area (R) slice 2,Olfactory areas (L) slice 2,Olfactory areas (R) slice 2,Hippocampal formation (L) slice 2,Hippocampal formation (R) slice 2,Cortical subplate (L) slice 2,Cortical subplate (R) slice 2,Striatum (L) slice 2,Striatum (R) slice 2,Pallidum (L) slice 2,Pallidum (R) slice 2,Thalamus (L) slice 2,Thalamus (R) slice 2,Hypothalamus (L) slice 2,Hypothalamus (R) slice 2,"Primary somatosensory area, barrel field (L) slice 3","Primary somatosensory area, barrel field (R) slice 3","Primary somatosensory area, lower limb (L) slice 3","Primary somatosensory area, lower limb (R) slice 3",Supplemental somatosensory area (L) slice 3,Supplemental somatosensory area (R) slice 3,Olfactory areas (L) slice 3,Olfactory areas (R) slice 3,Hippocampal formation (L) slice 3,Hippocampal formation (R) slice 3,Cortical subplate (L) slice 3,Cortical subplate (R) slice 3,Striatum (L) slice 3,Striatum (R) slice 3,Pallidum (L) slice 3,Pallidum (R) slice 3,Thalamus (L) slice 3,Thalamus (R) slice 3,Hypothalamus (L) slice 3,Hypothalamus (R) slice 3
1.6,0.765395975767246,1.23732092527302,,,2.93528676437517,3.89162940292982,5.01267081167793,6.8604472621732,7.12900295473006,7.55640501467307,10.632616323972,10.4741458974179,,11.1336960874866,,,11.8808726182119,12.7233195858212,14.052658593463,14.785552972005,15.1123456024915,16.1045725711414,,,17.9637599522393,18.9799869912176,20.1764501143895,21.5544320109027,21.9188083869,22.6901718485194,24.2358070798661,26.0125516391531,26.8652111610577,27.6643538990979,,,27.8560675429074,28.0652253771873,29.6968589702657,31.6472249595225,31.2995005348538,32.3609719624277,33.4978538509169,34.2155620289511,37.9246313357556,38.0489265324411,38.6870897488711,39.8504837225549,39.9085071275138,40.4428598870317,42.3089697738069,43.8454131081706,44.8361612442534,45.0443231454325,46.1946196431037,47.9556374597098,47.9615289519972,48.0664239304468,50.3184319297039,51.5196393497731
2.19999999999991,0.746905155933916,1.17854341798574,,,2.92080166147361,4.16328758598546,5.8695826075078,6.77667961041315,7.16327568994582,7.64142436447129,11.049414759663,10.4897242277534,,11.0995898197254,,,12.0053926556489,12.7562808258588,14.2097772100941,14.8729707794668,15.1423554568013,16.1544062708043,,,18.1292724755951,19.0790467097209,19.997186441758,21.3563641000439,21.9465350900298,22.7358616812407,24.1393223560307,25.9741372227664,26.5267073376988,27.5221942080421,,,27.749766285171,28.3407142674337,29.7251709820234,31.716791834481,31.259584268006,32.314101955297,33.471661109026,34.1548517704433,37.9780808102346,38.1485821172831,38.8409988841929,40.0839094602266,39.8252975875454,40.4900623859604,42.5558408235444,43.5114528061179,44.998226076488,44.9397844302536,46.2577638908424,47.4338494610897,48.0666585269615,48.1662554382945,50.4085948990547,51.4273029388323
2.79999999999982,0.749554532100842,1.21431594555909,,,3.16835884894883,4.00577351731478,5.84959262915664,6.96537219433918,7.18501710069895,7.60189063929089,10.4889608212912,10.843795836819,,10.9904598720742,,,12.0396728864808,12.6889559303657,14.1863190740072,15.0284246869014,15.1723631043225,16.2042369036043,,,18.2947833943509,19.1781087329641,19.8179182542323,21.1582944660499,21.9742663078145,22.7815488846461,24.0428337130219,25.9357194318005,26.188200744762,27.3800331619203,,,27.643463846451,28.6161974169515,29.7534794543111,31.7863558201933,31.2196648168891,32.2672290122598,33.4454684307833,34.0941379736497,38.0315433233106,38.2482279283087,38.994904532726,40.3173304451851,39.7420912990564,40.5372644481059,42.8027080157325,43.1774910370077,45.1602945681731,44.8352418183577,46.3209037931188,46.9120592148626,48.1717826550718,48.2660836686553,50.4987518764281,51.3349658912949
3.39999999999973,0.752198998594921,1.25008115901432,,,3.41591160121298,3.84825682909333,5.82960021334652,7.15406151650972,7.20676468547804,7.56235560917046,9.92850610237924,11.1978652422717,,10.8813268493678,,,12.0739532569406,12.6216265577479,14.1628604115311,15.1838761493335,15.2023685483065,16.2540644759427,,,18.4602927102817,19.2771730653869,19.63864555842,20.9602231119108,22.0020020345163,22.8272334669289,23.9463411563502,25.8972982712187,25.8496913853308,27.2378707632519,,,27.5371602323227,28.8916748367078,29.7817843965744,31.8559169236764,31.2391808573488,32.2474254538895,33.4567219075676,34.1118365929297,38.0138274015835,38.291082938426,38.8924168687977,40.1505078991587,39.817768301183,40.7992076900259,42.794772351686,43.2980798724867,45.1713142971022,44.6995144634377,46.4042970205767,47.4664194111949,48.3663241879792,48.2841540822075,50.3677431375857,51.7603099961789
3.99999999999964,0.754838564074113,1.28583907315305,,,3.66345992715611,3.69073753082096,5.80960536561482,7.34274758446209,7.22851843699065,7.52281928412795,9.36805060429675,11.5519324490768,,10.7721907574514,,,12.1082337728555,12.5542927203592,14.1394012295185,15.3393251770419,15.1371936720526,16.2049071911534,,,18.3082910586898,19.3371014260117,19.8588882043337,20.9571459151435,21.9893546979458,22.6439848982681,23.9170265552311,25.6938547350149,26.0896141700718,27.3832648538226,,,27.4788205540652,28.8487842436549,29.8142655380201,31.6424879421293,31.2586937236645,32.2276189718426,33.4679754491076,34.1295316870762,37.9961244750615,38.3339282098415,38.7899257338201,39.9836806181858,39.8934485465109,41.0611505091295,42.7868328451492,43.4186672466628,45.1823376738519,44.5637832254936,46.4876859141857,48.0207773666876,48.560860294435,48.3022212343554,50.2367284281685,52.1856534694638
4.59999999999954,0.715677706321683,1.24950663128638,,,3.49321075712538,3.68840670853764,5.62772956777424,6.83042713315211,7.23360517508702,7.5144027953302,9.72033365358464,11.2586544843721,,10.9183037800576,,,12.0569729600057,12.5535147608966,14.2215954261786,14.9640246312216,15.0720165987579,16.1557468586907,,,18.1562878078202,19.3970321046789,20.0791263551646,20.9540670042057,21.9767118588268,22.4607337248514,23.8877080514597,25.4904078391127,26.3295341944805,27.5286575968804,,,27.4204797115345,28.8058879427514,29.8467431683101,31.4290560923694,31.278203420894,32.2078095722274,33.4792290559566,34.1472232626585,37.9784345220688,38.3767637600949,38.687431135654,39.8168486111404,39.9691320309051,41.32309291239,42.7788895036437,43.5392531624099,45.1933646926127,44.4280481113648,46.5710704797473,48.575133084721,48.7553909846296,48.3202851331305,50.1057077588669,52.6109963136448
5.19999999999945,0.676511964852846,1.21316691967491,,,3.32295717853442,3.68607329517967,5.44585134907364,6.31810344268157,7.2386980653442,7.50598503161853,10.072615926439,10.9653743309386,,11.064413745132,,,12.0057123042474,12.5527323613418,14.3037891169864,14.5887216712073,15.006837331668,16.1065834849416,,,18.0042829594455,19.4569651058115,20.2993600175081,20.9509863820814,21.9640735114321,22.2774799548524,23.8583856505365,25.2869575884663,26.5694514616352,27.6740489949394,,,27.3621377102908,28.7629859449413,29.8792172968675,31.2156213813967,31.318090496148,32.2364799658917,33.4963189008828,34.1803949353879,37.9914336231621,38.3710621860755,38.5356622386124,39.7305902353471,40.0340965348138,41.3337165624815,42.7537769782336,43.2801415831731,45.113530543283,44.449925276878,46.5940795952075,47.9393154987975,48.7056410855447,48.2750241266375,49.9621473386452,52.1142963232877
5.79999999999936,0.637341348308168,1.17681995308877,,,3.15269920025445,3.68373730022336,5.26397071503754,5.80577652057163,7.24379710048195,7.49756600298316,10.424897424226,10.6720919937305,,11.2105206585072,,,11.9544518113898,12.5519455340196,14.3859823087736,14.2134163072506,15.0847324843334,16.1302340090425,,,18.2992427220427,19.450356515872,20.6072862242586,21.1541731243073,21.9601368174642,22.2994023513257,24.2337098374511,25.6438543820264,26.7729080419884,27.7861079911708,,,27.4619390781115,28.9528012067672,29.8687262973694,31.0562248243488,31.3579744124218,32.2651474541913,33.5134088122232,34.2135631026782,38.0044456544727,38.3653509259376,38.3838898940857,39.64432715121,40.0990642695276,41.3443398106565,42.728660632882,43.0210285512492,45.0337000243562,44.4717985798712,46.6170843942135,47.3034956821683,48.6558857905582,48.229759882815,49.8185809798975,51.6175957088099
6.39999999999927,0.658480252647549,1.20830664466877,,,3.03139598847192,3.74566857667261,5.38065597059111,5.96873454070567,7.22923246844783,7.46936600863273,10.3156351046934,10.9945556274787,,11.4875436607205,,,11.8251246636261,12.478585660321,14.297981877722,14.5578365758894,15.1626254496885,16.1538815046175,,,18.5942008906779,19.4437502572275,20.9152079557011,21.35735816131,21.9562046037761,22.3213221675445,24.6090301382047,26.0007478307417,26.9763618712402,27.8981656474264,,,27.5617392983248,29.1426107935514,29.8582318149619,30.8968254200707,31.3978551747636,32.2938120432211,33.5304987905297,34.2467277710853,38.0174705943644,38.3596299971851,38.2321141099169,39.5580593675839,40.1640352309198,41.3549626638685,42.7035404750948,42.7619140695066,44.9538731300339,44.4936680271692,46.640084882557,46.6676736382085,48.6061251098394,48.1844924096748,49.6750086932917,51.1208944727007
6.99999999999918,0.679614299174812,1.2397861107828,,,2.91008839472319,3.80759729045307,5.49733882184546,6.1316893442258,7.21467396674601,7.4411647693113,10.2063720128235,11.3170170873493,,11.7645636228872,,,11.6957976903639,12.4052213834757,14.2099809612924,14.9022544610619,15.2405162309723,16.1775259780397,,,18.8891574671209,19.4371463342848,21.2231252184189,21.5605414960681,21.9522768646506,22.3432394116627,24.9843465582868,26.3576379395566,27.1798129524647,28.0102219662152,,,27.6615383764758,29.3324147162142,29.8477338590453,30.7374231755452,31.2652399253416,32.2289384578923,33.4743504528072,34.1736329598379,37.9516602033167,38.2693442635825,38.2062954956024,39.7726528914482,40.1048756136881,41.2995333298215,42.3436253028962,43.0446254330201,44.8205728400305,44.855615179841,46.5375504349101,46.9975833347082,48.4925768752965,48.30545927575,49.8101167719217,51.4227166128117
