Date: 2026-06-02 15:41:42.654087
Data file: c:\Users\arodk\Documents\BME\SOTE\fUH_GitHub\SOTE-fUH-kutatas\sub-2585\0s_to_900.036s_sub2585-fus2D.txt

CORRELATION MATRIX

                                              Primary somatosensory area, barrel field (L)  Primary somatosensory area, barrel field (R)  Primary somatosensory area, lower limb (L)  Primary somatosensory area, lower limb (R)  Supplemental somatosensory area (L)  Supplemental somatosensory area (R)  Olfactory areas (L)  Olfactory areas (R)  Hippocampal formation (L)  Hippocampal formation (R)  Cortical subplate (L)  Cortical subplate (R)  Striatum (L)  Striatum (R)  Pallidum (L)  Pallidum (R)  Thalamus (L)  Thalamus (R)  Hypothalamus (L)  Hypothalamus (R)
Primary somatosensory area, barrel field (L)                                           NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Primary somatosensory area, barrel field (R)                                           NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Primary somatosensory area, lower limb (L)                                             NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Primary somatosensory area, lower limb (R)                                             NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Supplemental somatosensory area (L)                                                    NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Supplemental somatosensory area (R)                                                    NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Olfactory areas (L)                                                                    NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Olfactory areas (R)                                                                    NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Hippocampal formation (L)                                                              NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                   1.000000                   0.368769                    NaN                    NaN           NaN           NaN           NaN           NaN      0.529363           NaN               NaN               NaN
Hippocampal formation (R)                                                              NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                   0.368769                   1.000000                    NaN                    NaN           NaN           NaN           NaN           NaN      0.288998           NaN               NaN               NaN
Cortical subplate (L)                                                                  NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Cortical subplate (R)                                                                  NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Striatum (L)                                                                           NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Striatum (R)                                                                           NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Pallidum (L)                                                                           NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Pallidum (R)                                                                           NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Thalamus (L)                                                                           NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                   0.529363                   0.288998                    NaN                    NaN           NaN           NaN           NaN           NaN      1.000000           NaN               NaN               NaN
Thalamus (R)                                                                           NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Hypothalamus (L)                                                                       NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN
Hypothalamus (R)                                                                       NaN                                           NaN                                         NaN                                         NaN                                  NaN                                  NaN                  NaN                  NaN                        NaN                        NaN                    NaN                    NaN           NaN           NaN           NaN           NaN           NaN           NaN               NaN               NaN

SPECTRAL COHERENCE ANALYSIS

Frequency	Primary somatosensory area, barrel field (L), Primary somatosensory area, barrel field (R)	Primary somatosensory area, barrel field (L), Primary somatosensory area, lower limb (L)	Primary somatosensory area, barrel field (L), Primary somatosensory area, lower limb (R)	Primary somatosensory area, barrel field (L), Supplemental somatosensory area (L)	Primary somatosensory area, barrel field (L), Supplemental somatosensory area (R)	Primary somatosensory area, barrel field (L), Olfactory areas (L)	Primary somatosensory area, barrel field (L), Olfactory areas (R)	Primary somatosensory area, barrel field (L), Hippocampal formation (L)	Primary somatosensory area, barrel field (L), Hippocampal formation (R)	Primary somatosensory area, barrel field (L), Cortical subplate (L)	Primary somatosensory area, barrel field (L), Cortical subplate (R)	Primary somatosensory area, barrel field (L), Striatum (L)	Primary somatosensory area, barrel field (L), Striatum (R)	Primary somatosensory area, barrel field (L), Pallidum (L)	Primary somatosensory area, barrel field (L), Pallidum (R)	Primary somatosensory area, barrel field (L), Thalamus (L)	Primary somatosensory area, barrel field (L), Thalamus (R)	Primary somatosensory area, barrel field (L), Hypothalamus (L)	Primary somatosensory area, barrel field (L), Hypothalamus (R)	Primary somatosensory area, barrel field (R), Primary somatosensory area, lower limb (L)	Primary somatosensory area, barrel field (R), Primary somatosensory area, lower limb (R)	Primary somatosensory area, barrel field (R), Supplemental somatosensory area (L)	Primary somatosensory area, barrel field (R), Supplemental somatosensory area (R)	Primary somatosensory area, barrel field (R), Olfactory areas (L)	Primary somatosensory area, barrel field (R), Olfactory areas (R)	Primary somatosensory area, barrel field (R), Hippocampal formation (L)	Primary somatosensory area, barrel field (R), Hippocampal formation (R)	Primary somatosensory area, barrel field (R), Cortical subplate (L)	Primary somatosensory area, barrel field (R), Cortical subplate (R)	Primary somatosensory area, barrel field (R), Striatum (L)	Primary somatosensory area, barrel field (R), Striatum (R)	Primary somatosensory area, barrel field (R), Pallidum (L)	Primary somatosensory area, barrel field (R), Pallidum (R)	Primary somatosensory area, barrel field (R), Thalamus (L)	Primary somatosensory area, barrel field (R), Thalamus (R)	Primary somatosensory area, barrel field (R), Hypothalamus (L)	Primary somatosensory area, barrel field (R), Hypothalamus (R)	Primary somatosensory area, lower limb (L), Primary somatosensory area, lower limb (R)	Primary somatosensory area, lower limb (L), Supplemental somatosensory area (L)	Primary somatosensory area, lower limb (L), Supplemental somatosensory area (R)	Primary somatosensory area, lower limb (L), Olfactory areas (L)	Primary somatosensory area, lower limb (L), Olfactory areas (R)	Primary somatosensory area, lower limb (L), Hippocampal formation (L)	Primary somatosensory area, lower limb (L), Hippocampal formation (R)	Primary somatosensory area, lower limb (L), Cortical subplate (L)	Primary somatosensory area, lower limb (L), Cortical subplate (R)	Primary somatosensory area, lower limb (L), Striatum (L)	Primary somatosensory area, lower limb (L), Striatum (R)	Primary somatosensory area, lower limb (L), Pallidum (L)	Primary somatosensory area, lower limb (L), Pallidum (R)	Primary somatosensory area, lower limb (L), Thalamus (L)	Primary somatosensory area, lower limb (L), Thalamus (R)	Primary somatosensory area, lower limb (L), Hypothalamus (L)	Primary somatosensory area, lower limb (L), Hypothalamus (R)	Primary somatosensory area, lower limb (R), Supplemental somatosensory area (L)	Primary somatosensory area, lower limb (R), Supplemental somatosensory area (R)	Primary somatosensory area, lower limb (R), Olfactory areas (L)	Primary somatosensory area, lower limb (R), Olfactory areas (R)	Primary somatosensory area, lower limb (R), Hippocampal formation (L)	Primary somatosensory area, lower limb (R), Hippocampal formation (R)	Primary somatosensory area, lower limb (R), Cortical subplate (L)	Primary somatosensory area, lower limb (R), Cortical subplate (R)	Primary somatosensory area, lower limb (R), Striatum (L)	Primary somatosensory area, lower limb (R), Striatum (R)	Primary somatosensory area, lower limb (R), Pallidum (L)	Primary somatosensory area, lower limb (R), Pallidum (R)	Primary somatosensory area, lower limb (R), Thalamus (L)	Primary somatosensory area, lower limb (R), Thalamus (R)	Primary somatosensory area, lower limb (R), Hypothalamus (L)	Primary somatosensory area, lower limb (R), Hypothalamus (R)	Supplemental somatosensory area (L), Supplemental somatosensory area (R)	Supplemental somatosensory area (L), Olfactory areas (L)	Supplemental somatosensory area (L), Olfactory areas (R)	Supplemental somatosensory area (L), Hippocampal formation (L)	Supplemental somatosensory area (L), Hippocampal formation (R)	Supplemental somatosensory area (L), Cortical subplate (L)	Supplemental somatosensory area (L), Cortical subplate (R)	Supplemental somatosensory area (L), Striatum (L)	Supplemental somatosensory area (L), Striatum (R)	Supplemental somatosensory area (L), Pallidum (L)	Supplemental somatosensory area (L), Pallidum (R)	Supplemental somatosensory area (L), Thalamus (L)	Supplemental somatosensory area (L), Thalamus (R)	Supplemental somatosensory area (L), Hypothalamus (L)	Supplemental somatosensory area (L), Hypothalamus (R)	Supplemental somatosensory area (R), Olfactory areas (L)	Supplemental somatosensory area (R), Olfactory areas (R)	Supplemental somatosensory area (R), Hippocampal formation (L)	Supplemental somatosensory area (R), Hippocampal formation (R)	Supplemental somatosensory area (R), Cortical subplate (L)	Supplemental somatosensory area (R), Cortical subplate (R)	Supplemental somatosensory area (R), Striatum (L)	Supplemental somatosensory area (R), Striatum (R)	Supplemental somatosensory area (R), Pallidum (L)	Supplemental somatosensory area (R), Pallidum (R)	Supplemental somatosensory area (R), Thalamus (L)	Supplemental somatosensory area (R), Thalamus (R)	Supplemental somatosensory area (R), Hypothalamus (L)	Supplemental somatosensory area (R), Hypothalamus (R)	Olfactory areas (L), Olfactory areas (R)	Olfactory areas (L), Hippocampal formation (L)	Olfactory areas (L), Hippocampal formation (R)	Olfactory areas (L), Cortical subplate (L)	Olfactory areas (L), Cortical subplate (R)	Olfactory areas (L), Striatum (L)	Olfactory areas (L), Striatum (R)	Olfactory areas (L), Pallidum (L)	Olfactory areas (L), Pallidum (R)	Olfactory areas (L), Thalamus (L)	Olfactory areas (L), Thalamus (R)	Olfactory areas (L), Hypothalamus (L)	Olfactory areas (L), Hypothalamus (R)	Olfactory areas (R), Hippocampal formation (L)	Olfactory areas (R), Hippocampal formation (R)	Olfactory areas (R), Cortical subplate (L)	Olfactory areas (R), Cortical subplate (R)	Olfactory areas (R), Striatum (L)	Olfactory areas (R), Striatum (R)	Olfactory areas (R), Pallidum (L)	Olfactory areas (R), Pallidum (R)	Olfactory areas (R), Thalamus (L)	Olfactory areas (R), Thalamus (R)	Olfactory areas (R), Hypothalamus (L)	Olfactory areas (R), Hypothalamus (R)	Hippocampal formation (L), Hippocampal formation (R)	Hippocampal formation (L), Cortical subplate (L)	Hippocampal formation (L), Cortical subplate (R)	Hippocampal formation (L), Striatum (L)	Hippocampal formation (L), Striatum (R)	Hippocampal formation (L), Pallidum (L)	Hippocampal formation (L), Pallidum (R)	Hippocampal formation (L), Thalamus (L)	Hippocampal formation (L), Thalamus (R)	Hippocampal formation (L), Hypothalamus (L)	Hippocampal formation (L), Hypothalamus (R)	Hippocampal formation (R), Cortical subplate (L)	Hippocampal formation (R), Cortical subplate (R)	Hippocampal formation (R), Striatum (L)	Hippocampal formation (R), Striatum (R)	Hippocampal formation (R), Pallidum (L)	Hippocampal formation (R), Pallidum (R)	Hippocampal formation (R), Thalamus (L)	Hippocampal formation (R), Thalamus (R)	Hippocampal formation (R), Hypothalamus (L)	Hippocampal formation (R), Hypothalamus (R)	Cortical subplate (L), Cortical subplate (R)	Cortical subplate (L), Striatum (L)	Cortical subplate (L), Striatum (R)	Cortical subplate (L), Pallidum (L)	Cortical subplate (L), Pallidum (R)	Cortical subplate (L), Thalamus (L)	Cortical subplate (L), Thalamus (R)	Cortical subplate (L), Hypothalamus (L)	Cortical subplate (L), Hypothalamus (R)	Cortical subplate (R), Striatum (L)	Cortical subplate (R), Striatum (R)	Cortical subplate (R), Pallidum (L)	Cortical subplate (R), Pallidum (R)	Cortical subplate (R), Thalamus (L)	Cortical subplate (R), Thalamus (R)	Cortical subplate (R), Hypothalamus (L)	Cortical subplate (R), Hypothalamus (R)	Striatum (L), Striatum (R)	Striatum (L), Pallidum (L)	Striatum (L), Pallidum (R)	Striatum (L), Thalamus (L)	Striatum (L), Thalamus (R)	Striatum (L), Hypothalamus (L)	Striatum (L), Hypothalamus (R)	Striatum (R), Pallidum (L)	Striatum (R), Pallidum (R)	Striatum (R), Thalamus (L)	Striatum (R), Thalamus (R)	Striatum (R), Hypothalamus (L)	Striatum (R), Hypothalamus (R)	Pallidum (L), Pallidum (R)	Pallidum (L), Thalamus (L)	Pallidum (L), Thalamus (R)	Pallidum (L), Hypothalamus (L)	Pallidum (L), Hypothalamus (R)	Pallidum (R), Thalamus (L)	Pallidum (R), Thalamus (R)	Pallidum (R), Hypothalamus (L)	Pallidum (R), Hypothalamus (R)	Thalamus (L), Thalamus (R)	Thalamus (L), Hypothalamus (L)	Thalamus (L), Hypothalamus (R)	Thalamus (R), Hypothalamus (L)	Thalamus (R), Hypothalamus (R)	Hypothalamus (L), Hypothalamus (R)
0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.18468642777959365	nan	nan	nan	nan	nan	nan	0.030089349391417778	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00021989729999559468	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
58593.75	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.33946466451557966	nan	nan	nan	nan	nan	nan	0.2235870719910734	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.2650206025433032	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
117187.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.267343180212807	nan	nan	nan	nan	nan	nan	0.4216322299798313	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07884683428384526	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
175781.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08501803602404079	nan	nan	nan	nan	nan	nan	0.2576664073702816	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.039212215754223304	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
234375.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.06091659264767739	nan	nan	nan	nan	nan	nan	0.2083214973402383	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00010587628255221044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
292968.75	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.16241957310594923	nan	nan	nan	nan	nan	nan	0.05159143774062776	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.04391773880894074	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
351562.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.21234686437000863	nan	nan	nan	nan	nan	nan	0.2260967417793307	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.2544695083385633	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
410156.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.2646315172536316	nan	nan	nan	nan	nan	nan	0.18353762420159425	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.23730108401200872	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
468750.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.10417422328481635	nan	nan	nan	nan	nan	nan	0.07723753780750266	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.04335689288220649	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
527343.75	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.05412854338603954	nan	nan	nan	nan	nan	nan	0.10128042885827382	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11043097156494938	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
585937.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.157683592129756	nan	nan	nan	nan	nan	nan	0.15745210127687426	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11855860799325257	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
