Robustness test to random failure

Node removal

network efficiency	number of connected components	size of largest island	average of shortest path lengths	average of weighted shortest path lengths
0.8690476190476191	1	21	1.2619047619047619	0.41263192747395266
0.8657894736842106	1	20	1.268421052631579	0.409228304103612
0.8538011695906432	1	19	1.2923976608187135	0.41357618674665597
0.8398692810457516	1	18	1.3202614379084967	0.41413998784624495
0.8419117647058824	1	17	1.3161764705882353	0.418713807465391
0.8583333333333333	1	16	1.2833333333333334	0.4235158087521655
0.8380952380952381	1	15	1.3238095238095238	0.4293927141686001
0.8571428571428571	1	14	1.2857142857142858	0.4366959906198619
0.8397435897435898	1	13	1.3205128205128205	0.4393490791810528
0.8181818181818182	1	12	1.3636363636363635	0.4549470200930829
0.8545454545454545	1	11	1.290909090909091	0.4402377869530935
0.9222222222222223	1	10	1.1555555555555554	0.4041892211461273
0.9722222222222222	1	9	1.0555555555555556	0.41581593021079405
0.9642857142857143	1	8	1.0714285714285714	0.38995759536800684
1.0	1	7	1.0	0.4109077661529367
1.0	1	6	1.0	0.46463290737207036
1.0	1	5	1.0	0.4505269327163675
1.0	1	4	1.0	0.4816319687917616
1.0	1	3	1.0	0.4210924092881241
1.0	1	2	1.0	0.4409597951085983
0	1	1	0	0


Edge removal

network efficiency	number of connected components	size of largest island	average of shortest path lengths	average of weighted shortest path lengths
0.8614718614718615	1	22	1.277056277056277	0.41018745358574554
0.8593073593073594	1	22	1.2813852813852813	0.41018745358574554
0.8571428571428571	1	22	1.2857142857142858	0.4142694858791494
0.854978354978355	1	22	1.29004329004329	0.41536019902649346
0.8528138528138528	1	22	1.2943722943722944	0.41536019902649346
0.8506493506493507	1	22	1.2987012987012987	0.41536019902649346
0.8484848484848485	1	22	1.303030303030303	0.4155813886584708
0.8463203463203464	1	22	1.3073593073593073	0.41698637892573676
0.8441558441558441	1	22	1.3116883116883118	0.41915062657838675
0.841991341991342	1	22	1.316017316017316	0.42038347115272207
0.8398268398268398	1	22	1.3203463203463204	0.4205838253321061
0.8376623376623377	1	22	1.3246753246753247	0.4227797415460647
0.8354978354978355	1	22	1.329004329004329	0.4227797415460647
0.8333333333333334	1	22	1.3333333333333333	0.42455479627068143
0.8311688311688312	1	22	1.3376623376623376	0.42455479627068143
0.829004329004329	1	22	1.341991341991342	0.42455479627068143
0.8268398268398268	1	22	1.3463203463203464	0.42627020140889155
0.8246753246753247	1	22	1.3506493506493507	0.42762604422411526
0.8225108225108225	1	22	1.354978354978355	0.42762604422411526
0.8203463203463204	1	22	1.3593073593073592	0.42762604422411526
0.8181818181818182	1	22	1.3636363636363635	0.4286707652191571
0.816017316017316	1	22	1.367965367965368	0.430087297712416
0.8138528138528138	1	22	1.3722943722943723	0.4301234952016875
0.8116883116883117	1	22	1.3766233766233766	0.43231218146816197
0.8095238095238095	1	22	1.380952380952381	0.4341203388619852
0.8073593073593074	1	22	1.3852813852813852	0.434671686177524
0.8051948051948052	1	22	1.3896103896103895	0.43861080757378135
0.803030303030303	1	22	1.393939393939394	0.4412924526315344
0.8008658008658008	1	22	1.3982683982683983	0.4416673967523076
0.7987012987012987	1	22	1.4025974025974026	0.44265013825302635
0.7965367965367965	1	22	1.406926406926407	0.44265013825302635
0.7943722943722944	1	22	1.4112554112554112	0.4446299112236679
0.7922077922077922	1	22	1.4155844155844155	0.4470667228289978
0.79004329004329	1	22	1.41991341991342	0.44943754622129384
0.7878787878787878	1	22	1.4242424242424243	0.4511391603673702
0.7857142857142857	1	22	1.4285714285714286	0.4527410928794791
0.7835497835497836	1	22	1.432900432900433	0.45274716055933417
